title,price,available,rating,upc,url,category
A Light in the Attic,51.77,22,3,a897fe39b1053632,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Poetry
Tipping the Velvet,53.74,20,1,90fa61229261140a,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Historical Fiction
Soumission,50.1,20,1,6957f44c3847a760,https://books.toscrape.com/catalogue/soumission_998/index.html,Fiction
Sharp Objects,47.82,20,4,e00eb4fd7b871a48,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Mystery
Sapiens: A Brief History of Humankind,54.23,20,5,4165285e1663650f,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,History
The Requiem Red,22.65,19,1,f77dbf2323deb740,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,19,4,2597b5a345f45e1b,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,19,3,e72a5dfc7e9267b2,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,19,4,e10e1e165dc8be4a,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Default
The Black Maria,52.15,19,1,1dfe412b8ac00530,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,19,2,0312262ecafa5a40,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Default
Shakespeare's Sonnets,20.66,19,4,30a7f60cd76ca58c,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Poetry
Set Me Free,17.46,19,5,ce6396b0f23f6ecc,https://books.toscrape.com/catalogue/set-me-free_988/index.html,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,19,5,3b1c02bac2a429e6,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art
Rip it Up and Start Again,35.02,19,5,a34ba96d4081e6a4,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,19,3,deda3e61b9514b83,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Music
Olio,23.88,19,1,feb7cc7701ecf901,https://books.toscrape.com/catalogue/olio_984/index.html,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,19,1,e30f54cea9b38190,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Science Fiction
Libertarianism for Beginners,51.33,19,2,a18a4f574854aced,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Politics
It's Only the Himalayas,45.17,19,2,a22124811bfa8350,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Travel
In Her Wake,12.84,19,1,23356462d1320d61,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,Thriller
How Music Works,37.32,19,2,327f68a59745c102,https://books.toscrape.com/catalogue/how-music-works_979/index.html,Music
